StreetName,BetweenStreet1,BetweenStreet2,CountperDay
LONSDALE STREET,KING STREET,WILLIAM STREET,570.5972602739726
KING STREET,FLINDERS LANE,FLINDERS STREET,498.5561643835616
LONSDALE STREET,EXHIBITION STREET,SPRING STREET,480.85205479452054
JOLIMONT STREET,JOLIMONT TERRACE,JOLIMONT ROAD,423.38904109589043
JOLIMONT ROAD,WELLINGTON PARADE SOUTH,JOLIMONT STREET,370.7780821917808
EXHIBITION STREET,LITTLE LONSDALE STREET,LONSDALE STREET,357.67397260273975
EXHIBITION STREET,COLLINS STREET,FLINDERS LANE,338.5260273972603
KING STREET,LITTLE BOURKE STREET,BOURKE STREET,323.8794520547945
WILLIAM STREET,VICTORIA STREET,WALSH STREET,323.1945205479452
WELLINGTON PARADE SOUTH,JOLIMONT ROAD,WELLINGTON PARADE,319.9287671232877
